ansatz,n_params,n_samples,ent_mean,ent_sem,q_min,q_max,q_std
Cand-NN,36,1500,0.6183274118334118,0.0047175451847139655,0.0388935166869715,0.9946868681964101,0.18270973935378182
Cand-NN,36,2500,0.6153687591431816,0.0036456358248029637,0.03518015985337741,0.9946868681964101,0.18228179124014818
Cand-NN,36,5000,0.6158452282802802,0.0026020437925770392,0.0193983133312452,0.9977573970597671,0.1839922810675587
Cand-NN,36,7500,0.6160386611553552,0.0021442216158415353,0.017413813041694093,0.9977573970597671,0.1856950390662487
Cand-CB,36,1500,0.7831142515199212,0.0034290166267022405,0.20073709833833853,0.9968363767475903,0.13280524289086112
Cand-CB,36,2500,0.7850521297329823,0.002655613448741311,0.16180501321676988,0.9968363767475903,0.13278067243706554
Cand-CB,36,5000,0.7846065074726701,0.0018696582518388319,0.15605479487146234,0.996965989269671,0.1322048028376624
Cand-CB,36,7500,0.7847713633891118,0.0015251445189859187,0.15605479487146234,0.996965989269671,0.13208138978844036
Cand-AA,36,1500,0.39216299627500667,0.007357258274855747,4.5918520097387727e-07,0.9897444564970295,0.2849453877226302
Cand-AA,36,2500,0.39423510045249943,0.00572287414517802,4.5918520097387727e-07,0.9897444564970295,0.286143707258901
Cand-AA,36,5000,0.3958818755277666,0.004033213570280762,1.4246473134527093e-07,0.9897444564970295,0.2851912665519133
Cand-AA,36,7500,0.3963568145249821,0.0032877567147951547,1.3485071503893664e-08,0.9940282688210043,0.2847280836475473
