ansatz,n_params,n_samples,kl_divergence,pqc_fid_mean,pqc_fid_std,haar_fid_mean,haar_fid_std
Ref-NN,54,1500,0.12174789456263457,0.01564496834591031,0.019207580986891622,0.01574414303953791,0.01577292700905008
Ref-NN,54,2500,0.10227255299137473,0.015629659854215088,0.018912850514496593,0.015896075119346202,0.016160473576883116
Ref-NN,54,5000,0.025538301391211483,0.015473665953809671,0.018686283307871476,0.01567870968860609,0.016045484026490087
Ref-NN,54,7500,0.025450221362093448,0.015636496434987716,0.019101334733833,0.01565572254340308,0.01587206207333659
Ref-CB,60,1500,0.017418960721101724,0.015584114291792621,0.01590498329480135,0.01574414303953791,0.01577292700905008
Ref-CB,60,2500,0.012429929249679797,0.01594704370410555,0.016211625626535515,0.015896075119346202,0.016160473576883116
Ref-CB,60,5000,0.0009667218728193906,0.015844901236507006,0.016211581864454986,0.01567870968860609,0.016045484026490087
Ref-CB,60,7500,0.0017348737710269782,0.01582997569077825,0.016029252372015454,0.01565572254340308,0.01587206207333659
Ref-AA,54,1500,0.01994967486478439,0.015465038321043617,0.015606100609971427,0.01574414303953791,0.01577292700905008
Ref-AA,54,2500,0.012833960661604369,0.015608245527841711,0.01563497702808522,0.015896075119346202,0.016160473576883116
Ref-AA,54,5000,0.0054291618601647355,0.015670245647259485,0.01560938687868751,0.01567870968860609,0.016045484026490087
Ref-AA,54,7500,0.003783110339447812,0.015549269014941833,0.015601917617597891,0.01565572254340308,0.01587206207333659
Cand-NN,36,1500,0.06280885372786818,0.015439739846805208,0.018583129808602734,0.01574414303953791,0.01577292700905008
Cand-NN,36,2500,0.10058206731167771,0.015540017399675013,0.019468351746972937,0.015896075119346202,0.016160473576883116
Cand-NN,36,5000,0.049384919799382164,0.015467246328824541,0.02037899043537821,0.01567870968860609,0.016045484026490087
Cand-NN,36,7500,0.052190886053818324,0.015470652612704555,0.020212051503314055,0.01565572254340308,0.01587206207333659
Cand-CB,36,1500,0.1473423716905266,0.015202618549243868,0.01937673087472731,0.01574414303953791,0.01577292700905008
Cand-CB,36,2500,0.09801370894226971,0.015296740343215692,0.01962283339087983,0.015896075119346202,0.016160473576883116
Cand-CB,36,5000,0.05752611737340764,0.015604876327161855,0.020437429247547254,0.01567870968860609,0.016045484026490087
Cand-CB,36,7500,0.044489581060080025,0.015526309748161464,0.019807916323564257,0.01565572254340308,0.01587206207333659
Cand-AA,36,1500,0.2477233908550717,0.01516349791404805,0.023901793237700343,0.01574414303953791,0.01577292700905008
Cand-AA,36,2500,0.15629491466605447,0.01495599564611652,0.02236941881749319,0.015896075119346202,0.016160473576883116
Cand-AA,36,5000,0.13273910509553843,0.015288903724451686,0.02364346625137778,0.01567870968860609,0.016045484026490087
Cand-AA,36,7500,0.18573436256486364,0.01595683794218233,0.026185378199126485,0.01565572254340308,0.01587206207333659
